	fc	p
C1orf174	-0.060804622	0.47
LINC01134	-6.64385619	0.57
AJAP1	-5.345727255	0.53
NPHP4	-1.462640127	0.73
KCNAB2	-0.138261078	0.79
CHD5	-3.061197584	0.75
RPL22	1.840269412	0.43
RP1-120G22.11	0.683587896	0.57
RNF207	2.933985711	0.64
ICMT	3.23234916	0.88
GPR153	0.000415804	0.38
ACOT7	-1.155544251	0.06
TNFRSF25	-0.330330608	1
PLEKHG5	0.610757482	0.14
NOL9	1.454192129	0.3
ZBTB48	0.200224292	0.83
KLHL21	1.725093169	0.44
PHF13	0.231100994	0.82
THAP3	-0.177577477	0.18
DNAJC11	2.814932216	0.08
RP11-312B8.1	-1.7332927	0.08
CAMTA1	0.969661923	0.61
RP11-338N10.3	-0.539715537	0.44
VAMP3	3.89691894	0.53
RP3-467L1.6	-1.087541882	0.21
PER3	2.564980784	0.9
TNFRSF9	-5.678172975	0.64
PARK7	4.048499217	0.77
ERRFI1	0.660873397	0.69
RP11-431K24.1	-6.64385619	0.08
SLC45A1	-2.336278481	0.37
RERE	3.351395887	0.9
RP5-1115A15.1	-3.381642322	0.47
RPL7P7	-0.711317508	0.79
Y_RNA	0.821540178	0.5
RP4-633I8.4	1.158285498	0.22
ENO1	4.088012379	0.43
ENO1-IT1	-1.981189389	0.32
RP3-477M7.6	-6.64385619	0.42
SLC2A7	-6.64385619	0.59
SLC2A5	-1.659763003	0.25
GPR157	1.216370887	1
MIR34A	-2.176657038	0.11
RP3-510D11.2	-2.6877306	0.71
H6PD	2.268837743	0.77
SPSB1	-0.04782143	0.24
SLC25A33	-1.561701832	0.66
RP13-15M17.1	-3.083979567	0.76
TMEM201	0.435608018	0.66
PIK3CD	-1.804284907	0.99
PIK3CD-AS2	-6.64385619	0.98
CLSTN1	3.400461456	0.06
CTNNBIP1	2.137785777	0.53
LZIC	2.244609926	0.64
RP11-84A14.4	-2.764915065	0.79
NMNAT1	1.055081444	0.6
RN7SKP269	-0.383576069	0.19
RBP7	2.593679028	0.2
UBE4B	2.587758955	0.99
PGAM1P11	-2.415406843	1
KIF1B	3.691660947	0.04
RNU6-37P	0.186161223	0
PGD	1.768533756	0.52
CENPS	-2.446365478	0.34
DFFA	1.648514278	0.52
PEX14	1.326511707	0.06
CASZ1	1.595707126	0.76
RP4-734G22.3	-6.64385619	0.22
C1orf127	-4.04315819	0.04
TARDBP	1.943386261	0.42
RP4-635E18.8	0.618876967	0.95
SRM	1.982479178	0.73
EXOSC10	1.835078517	0.02
RP4-635E18.7	-3.68989558	0.7
MTOR	2.613188041	0.94
ANGPTL7	-0.729548825	0.94
UBIAD1	0.613173735	0.36
DISP3	-5.656671212	0.25
FBXO2	-2.59801207	0.31
FBXO44	0.694198982	0.04
FBXO6	-0.034842285	0.64
MAD2L2	0.112239324	0.63
DRAXIN	-4.291502473	0.99
AGTRAP	1.012206148	0.78
C1orf167	-2.497334594	0.5
MTHFR	2.247131927	0.81
CLCN6	1.486176093	0.73
NPPA-AS1	-2.1752701	0.88
NPPA	6.351839379	0.5
NPPB	6.204215994	0.29
RP5-934G17.6	-6.64385619	0.81
RNU5E-1	4.680988981	0.67
KIAA2013	1.682417208	0.22
PLOD1	2.482778971	0
MFN2	6.121279058	0.85
MIIP	0.651936341	0.85
TNFRSF8	-3.023452506	0.13
TNFRSF1B	0.841523082	0.84
VPS13D	3.660773484	0.93
SNORA59A	-1.297139953	0.89
DHRS3	2.693463558	0.86
RP11-474O21.5	-0.495082823	0.43
LRRC38	-3.951756357	0.73
PDPN	1.625780157	0.62
PRDM2	2.41391188	0.1
KAZN	-3.181041264	0.95
TMEM51-AS1	-4.251854599	0.37
TMEM51	-0.667727167	0.94
FHAD1	-6.086889444	0.82
RP3-467K16.2	-1.554996584	0.65
RP3-467K16.7	-3.426781646	0.4
EFHD2	1.139525303	0.37
CASP9	0.207978938	0.07
DNAJC16	1.41483286	0.97
SCARNA21	-1.181297094	0.04
AGMAT	-6.64385619	0.67
DDI2	1.900577491	0.69
PLEKHM2	2.916104158	0.7
SLC25A34	0.92476739	0.41
FBLIM1	1.792529889	0.65
UQCRHL	-0.976622531	0.31
FLJ37453	-1.235319868	0.28
SPEN	2.751877186	0.06
ZBTB17	0.681422177	0.03
C1orf64	-3.845610512	0.93
HSPB7	8.383728193	0.15
CLCNKA	-4.009921767	0.83
CLCNKB	-1.96384857	0.4
FAM131C	-6.64385619	0.92
EPHA2	1.137846568	0.19
ARHGEF19	-3.747742293	0.72
ANO7L1	-3.308211462	0.58
RSG1	-0.138963634	0.44
FBXO42	1.76042865	0.71
SZRD1	2.942374197	0.06
NECAP2	0.355963497	0.65
RP4-798A10.2	-1.887369806	0.43
CROCCP3	-0.27802079	0.49
RNU1-1	0.887089673	0.76
NBPF1	0.080509129	0.7
CROCCP2	-0.87421318	0.43
MST1P2	-4.782492879	0.17
RP5-875O13.7	-3.331814475	0.5
EIF1AXP1	-0.824207233	0.58
CROCC	-0.782637649	0.89
MST1L	-6.64385619	0.5
RP11-108M9.3	-5.041572116	0.75
RP11-108M9.4	0.10956624	0.64
RNU1-2	-0.423184558	0.23
RP11-108M9.6	-1.808456237	0.55
MFAP2	-2.509789	0.22
ATP13A2	-0.05393989	1
SDHB	5.217620508	0.79
PADI2	-3.826335225	0.25
PADI4	-4.304289293	0.42
RCC2	0.956212721	0.44
ARHGEF10L	1.711418391	0.42
IGSF21	-3.864148343	0.21
RP11-174G17.3	-3.732246001	0.03
ALDH4A1	1.6996825	0.66
IFFO2	-0.253671133	0.78
RP5-1126H10.2	-2.898152263	0.6
UBR4	3.415263684	0.35
RP1-43E13.2	-0.465922328	0.82
EMC1	1.95789675	0.87
MRTO4	0.852717849	0.36
AKR7L	-6.64385619	0.8
AKR7A3	-3.109687934	0.83
AKR7A2	2.680913865	0.41
PQLC2	-0.697870415	0.29
CAPZB	3.484113002	0.87
RN7SL277P	-6.64385619	0.48
MINOS1	1.131964685	0.85
RP5-1056L3.3	0.793953689	0.8
NBL1	-0.047401802	0.2
TMCO4	0.072826737	0.84
OTUD3	1.049327979	0.98
PLA2G2A	-4.448308923	0.41
PLA2G5	3.447623019	0.03
PLA2G2D	-6.64385619	0.55
RP3-340N1.2	-6.64385619	0.23
PLA2G2C	-5.143358967	0.75
UBXN10	-1.889401939	0.83
VWA5B1	-6.64385619	0.81
CAMK2N1	0.003030228	0.67
MUL1	2.542404852	0.26
FAM43B	-1.563154203	0.61
CDA	-0.801213737	0.35
PINK1	4.199640509	0.79
PINK1-AS	1.523698813	0.2
DDOST	4.113134701	0.8
KIF17	-2.657698802	0.72
HP1BP3	3.435212462	0.64
EIF4G3	2.984267498	0.1
RPS15AP6	-0.650989339	0.92
RP11-487E1.2	-6.64385619	0.61
ECE1	2.564291633	0.54
NBPF2P	-3.303630475	0.89
NBPF3	-1.566152167	0.91
ALPL	0.579919996	0.16
RAP1GAP	-0.992133402	0.48
USP48	2.047205105	0.1
HSPG2	3.335107391	0.22
LINC00339	0.59891834	0.76
CDC42	3.841011585	0.26
CDC42-IT1	-0.181355538	0.65
RP1-224A6.9	0.188071742	0.3
WNT4	-5.421823272	0.94
ZBTB40	1.817985929	0.45
ZBTB40-IT1	-0.161637151	0.19
C1QA	1.735630382	0.92
C1QC	1.876053355	0.68
C1QB	1.797851281	0.9
EPHB2	-4.683227887	0.15
KDM1A	2.264720126	0.2
LUZP1	2.616375525	0.18
LINC01355	0.852303657	0.08
HNRNPR	2.881160823	1
ZNF436	2.857879961	0.2
ZNF436-AS1	-0.531705483	0
RP5-1057J7.7	-1.391061371	0.9
TCEA3	3.065085549	0.1
ASAP3	2.211193738	0.57
E2F2	-6.64385619	0.78
ID3	2.660389685	0.39
RPL11	6.071169647	0.55
TCEB3	2.889009876	0.03
TCEB3-AS1	-0.552437144	0.19
PITHD1	2.643304033	0.62
LYPLA2	1.106348061	0.23
GALE	-1.152521591	0.03
HMGCL	0.597930133	0.39
FUCA1	2.302228645	0.41
PNRC2	3.415431196	0.69
SRSF10	2.423342199	0.12
MYOM3	5.249926449	0.64
IL22RA1	-3.37703094	0.46
IFNLR1	-0.771009913	0.4
STPG1	-1.8035574	0.86
NIPAL3	1.017597316	0.3
RCAN3	0.267289651	0.36
NCMAP	-6.64385619	0.32
SRRM1	2.652739559	0.57
CLIC4	6.135240957	0.3
RUNX3	-3.274038775	0.78
SYF2	2.210706095	0.93
RSRP1	2.529521052	0.25
RP3-465N24.6	-1.383837952	0.82
RP3-465N24.5	-6.64385619	0.54
RP11-335G20.7	-1.873598743	0.23
TMEM50A	2.867813977	0.59
RHCE	-3.566712648	0.12
TMEM57	2.159606492	0.75
LDLRAP1	0.655421482	0.17
RP11-70P17.1	-0.656143612	0.68
MAN1C1	0.24666346	0.43
SELENON	2.517085003	0.58
RP1-317E23.3	-2.632966862	0.75
MTFR1L	3.472178849	0.4
PAQR7	-1.214608129	0.92
STMN1	0.896732869	0.89
PAFAH2	1.569339253	0.9
EXTL1	-0.047716535	0.09
SLC30A2	0.675202298	0.08
TRIM63	5.437737902	0.43
PDIK1L	0.753865628	0.38
FAM110D	-0.544698671	0.68
ZNF593	0.729099202	0.72
CNKSR1	-0.992922393	0.22
RP11-231P20.2	-2.328619468	0.23
CEP85	3.44971265	0.26
SH3BGRL3	2.181648089	0.73
UBXN11	-0.509212122	0.86
CD52	-1.587966398	0.71
AIM1L	-6.64385619	1
ZNF683	-6.64385619	0.6
DHDDS	1.389093519	0.65
RP3-476K8.4	-3.025931996	0.43
RP3-476K8.3	-2.070332264	0.76
HMGN2	1.991948658	0.79
RPS6KA1	-2.287548673	0.88
RP5-968P14.2	-3.829640456	0.11
ARID1A	2.180930025	0.35
PIGV	-0.46676395	0.33
ZDHHC18	-0.085728571	0.9
GPN2	0.729442028	0.88
GPATCH3	0.266775147	0.19
NUDC	2.704113574	0.01
NR0B2	0.917549057	0.05
TRNP1	1.364455962	0.63
FAM46B	0.645428482	0.31
SLC9A1	1.623029076	0.42
CHCHD3P3	-1.771942912	0.59
WDTC1	2.866177219	0.55
RP11-4K3__A.3	-1.191331751	0.07
TMEM222	0.860951851	0.37
ACTG1P20	-0.611335179	0.68
SYTL1	-4.98349867	0.53
MAP3K6	2.095977143	0.13
FCN3	-0.195776294	0.27
GPR3	-3.898551583	0.91
WASF2	2.955868426	0.97
AHDC1	0.804536802	0.53
FGR	-2.314450608	0.8
RP1-159A19.3	-0.06988525	0.59
IFI6	3.148647804	0.73
FAM76A	1.635035729	0.52
RP3-426I6.2	-1.491057216	0.39
RPEP3	-1.446132181	0.19
STX12	2.208545693	0.45
RP3-426I6.5	1.204956447	0.61
RP3-426I6.6	-2.489561441	0.59
PPP1R8	2.495403696	0.75
SCARNA1	1.131415293	0.64
THEMIS2	-0.310358833	0.54
RPA2	1.950431421	0.84
SMPDL3B	-6.64385619	0.16
XKR8	-0.626224266	0.08
EYA3	2.007582213	0.07
RP11-460I13.6	-0.265370991	0.56
RN7SL559P	0.03663491	0.92
SPCS2P4	-1.858372894	0.32
PTAFR	-2.609578471	0.99
DNAJC8	2.924763584	0.36
ATPIF1	4.218142217	0.07
RP5-1092A3.4	-0.186792445	0.81
SESN2	-0.068645511	0.74
MED18	0.372915295	0.56
PHACTR4	1.435360793	0.95
RP1-308E4.1	-1.091130189	0.59
RCC1	-1.386731894	0.41
SNHG3	-0.00168201	0.6
SNORA73B	6.73445496	0.38
TRNAU1AP	0.175841298	0.27
SNHG12	-0.464658947	0.53
SNORD99	1.709855285	0.68
TAF12	1.484502214	0.99
RAB42	-4.73021036	0.06
RP11-442N24__B.1	-2.35791663	0.99
RNU11	0.856790861	0.24
GMEB1	-0.068780585	0.28
YTHDF2	2.538640845	0.24
EPB41	1.706167473	0.79
TMEM200B	-1.170120518	0.17
RP11-242O24.3	-2.144011869	0.21
SRSF4	2.040739155	0.22
MECR	1.123705207	0.32
PTPRU	0.549634539	0.41
MATN1	-5.436030032	0.25
MATN1-AS1	-6.64385619	0.53
LAPTM5	0.738578712	0.21
RP5-1125N11.2	-4.421832914	0.97
SDC3	1.538127215	0.22
PUM1	3.51218937	0.49
SNRNP40	1.544527622	0.53
RP11-490K7.4	0.851857739	0.79
ZCCHC17	1.581932676	0.09
RP11-266K22.2	-0.260832587	0.77
FABP3	9.802167091	0.84
SERINC2	-2.617040835	0.85
RP11-73M7.1	-1.257218384	0.82
TINAGL1	3.792511797	0.92
HCRTR1	-3.630236479	0.29
PEF1	2.893980142	0.46
COL16A1	1.490031802	0.4
ADGRB2	-1.022401898	0.81
SPOCD1	-6.64385619	0.12
RP11-84A19.4	1.530034217	0.36
PTP4A2	3.964035272	0.02
KHDRBS1	3.548030651	0.59
TMEM39B	-0.243998137	0.03
KPNA6	3.503696044	0.45
TXLNA	2.215581097	0.67
CCDC28B	-0.664532517	0.09
RP4-622L5.7	-2.412390695	0.74
IQCC	-1.238165144	0.32
TMEM234	0.736176146	0.67
EIF3I	3.894800312	0.84
MTMR9LP	0.658975522	0.27
FAM167B	-1.900576885	0.37
LCK	-3.961099546	0.22
HDAC1	1.754698577	0.01
MARCKSL1	-0.045722043	0.29
TSSK3	-2.118436124	0.55
FAM229A	-0.370621845	0.1
BSDC1	2.123904577	0.49
ZBTB8B	-6.087933886	0.75
ZBTB8A	-0.892394645	0.37
ZBTB8OS	0.918045703	0.57
RBBP4	2.210700203	0.63
SYNC	1.518487835	0.8
KIAA1522	-0.769715609	0.29
YARS	0.733856023	0.21
S100PBP	0.39604485	0.89
FNDC5	2.335087427	0.54
TMEM54	0.265673267	0
RNF19B	1.200704562	0.86
AK2	2.439614188	0.12
Metazoa_SRP	-0.495082823	0.69
AZIN2	-2.059102629	0.67
RP11-131M11.2	-2.415406843	0.38
TRIM62	-0.470808433	0.92
RP11-131M11.3	-4.474048694	0.13
ZNF362	2.430150543	0.08
RP11-415J8.7	0.22377987	0.1
PHC2	2.698801549	0.55
RN7SKP16	1.864781618	0.71
RP11-415J8.5	-2.909092795	0.74
ZSCAN20	0.648206083	0.6
CSMD2	-5.646118329	0.41
SMIM12	0.656218556	0.02
RP1-34M23.5	-6.64385619	0.04
GJA4	2.710581865	0.35
RP11-244H3.1	-1.659554245	0.18
TMEM35B	-6.64385619	0.45
ZMYM6	0.342704008	0.19
ZMYM1	1.068282516	0.34
EFCAB14P1	-1.318574191	0.56
SFPQ	4.115346473	0.14
ZMYM4	3.010358568	0.32
RPL5P4	0.13690966	0.85
KIAA0319L	2.833493977	0.77
NCDN	1.805210226	0.39
RP4-728D4.2	-6.64385619	0.5
TFAP2E	-6.64385619	0.23
PSMB2	1.96692039	0.81
C1orf216	0.542418844	0.62
CLSPN	-5.563185524	0.03
AGO4	2.331408195	0.21
AGO1	1.702950849	0.43
AGO3	1.201586905	0.39
ADPRHL2	0.891212968	0.94
COL8A2	-1.70300063	0.52
TRAPPC3	1.896098373	0.62
MAP7D1	3.805910117	0.9
THRAP3	4.856952806	0.16
SH3D21	-1.471447041	0.61
EVA1B	0.078949718	0.32
RP11-268J15.5	-1.875111863	0.35
STK40	2.047182889	0.97
LSM10	0.698840805	0.95
OSCP1	0.068661786	0
SNORA63	-1.065814288	0.17
MRPS15	3.148211914	0.07
CSF3R	-1.98069627	0.59
GRIK3	-4.649795536	0.99
LINC01137	-2.450085996	0
ZC3H12A	-0.461592514	0.06
MEAF6	2.150374458	0.64
MIR5581	1.597738094	0.2
SNIP1	0.817817963	0.78
DNALI1	-1.047232235	0.84
GNL2	1.555837263	0.33
RSPO1	-6.64385619	0.75
C1orf109	0.004774636	0.37
CDCA8	-3.214294587	0.56
EPHA10	-6.64385619	0.43
MANEAL	-1.435015005	0.86
YRDC	0.094001288	0.05
C1orf122	0.608266864	0.99
MTF1	0.792343947	0.17
INPP5B	0.831997454	0.16
SF3A3	2.007022083	0.23
FHL3	-0.130999093	0.89
UTP11	1.859269295	0.03
RRAGC	0.496930652	0.55
RP5-864K19.4	0.517827789	0.1
MYCBP	0.264462187	0.68
RHBDL2	-6.64385619	0.8
AKIRIN1	3.277253648	0.44
NDUFS5	6.768276698	0.7
MACF1	4.777853925	0.21
RP11-416A14.1	-0.859589751	0.42
BMP8A	-3.620309695	0.44
OXCT2P1	-1.310957463	0.62
RP11-69E11.4	-0.732883625	0.48
PPIEL	-0.91735683	0.35
PABPC4	3.451984773	0.11
SNORA55	2.011583454	0.09
HEYL	2.445842206	0.17
NT5C1A	2.599250832	0.28
HPCAL4	-2.377915376	0.8
PPIE	0.109664622	0.2
BMP8B	-2.166781955	0.41
OXCT2	-2.814353788	0.57
TRIT1	1.700372447	0.18
Y_RNA	0.108160125	0.77
MYCL	-3.617064561	0.78
MFSD2A	-6.64385619	0.98
CAP1	2.794670335	0.87
PPT1	2.773027327	0.75
RLF	2.388417704	0.38
RNU6-1237P	-6.64385619	0.11
RP1-39G22.7	0.887648252	0.46
ZMPSTE24	2.769129259	0.94
RP1-39G22.4	-6.64385619	0.54
COL9A2	-3.161741841	0.44
SMAP2	1.640270508	0.17
RP1-228H13.2	-2.695825891	0.76
ZFP69B	-2.628436833	0.91
RP1-228H13.5	-2.663681985	0.26
ZFP69	-0.865927388	0.47
RP11-656D10.3	-0.139989374	0.68
EXO5	-1.006301469	0.61
ZNF684	1.184761143	0.92
RIMS3	-3.078151469	0.37
NFYC-AS1	-0.089480497	0.63
NFYC	2.14460493	0.87
MIR30E	-0.586837306	0.67
MIR30C1	-6.64385619	0.98
KCNQ4	-1.084506988	0.95
CITED4	0.265440287	0.16
CTPS1	-0.180102619	1
SLFNL1-AS1	-4.389608323	0.24
SLFNL1	-2.279427504	0.95
SCMH1	2.834472668	0.02
RP11-399E6.1	-0.265370991	0.17
FOXO6	-3.548269251	0.35
RP11-399E6.4	-6.64385619	0.6
EDN2	-4.417000097	0.08
HIVEP3	-1.382981752	0.71
FOXJ3	2.875027116	0.53
RIMKLA	1.060627613	0.74
ZMYND12	-0.837177905	0.93
PPCS	2.28647467	0.76
CCDC30	-2.044969574	0.52
PPIH	1.069782165	0.45
RP5-994D16.3	-3.179334015	0.53
YBX1	5.265324334	0.42
P3H1	-0.364240022	0.99
C1orf50	0.163433632	0.48
SVBP	0.387993983	0
ERMAP	-0.313438787	0.1
RP11-342M1.3	-2.346954305	0.86
ZNF691	1.07995774	0.58
ATP6V1E1P1	-1.14248529	0.38
SLC2A1	1.098096536	0.95
SLC2A1-AS1	-2.883148636	0.22
EBNA1BP2	1.50561912	0.15
CFAP57	-3.586036852	0.04
TIE1	1.283639427	0.03
MPL	-6.64385619	0.57
RP1-92O14.3	-2.376674422	0.87
CDC20	-3.852902453	0.92
ELOVL1	1.605175241	0.29
MED8	1.352562912	0.94
SZT2	1.12695176	0.47
SZT2-AS1	-6.64385619	0.5
HYI	0.877843266	0.23
HYI-AS1	-1.547459352	0.15
PTPRF	-1.955546076	0.28
KDM4A	2.132426107	0.75
ST3GAL3	1.061888308	0.93
RP11-184I16.3	-0.56085449	0.52
ARTN	-6.64385619	0.64
RP11-7O11.3	-1.577952229	0.8
IPO13	2.724552663	0.43
DPH2	0.849180964	0.77
ATP6V0B	1.463554788	0.69
B4GALT2	1.106582318	0.86
CCDC24	-2.345644935	0.99
SLC6A9	-4.471223993	0.18
RP5-1198O20.4	-6.64385619	0.66
DMAP1	0.602752773	0.99
ERI3	2.37680582	0.55
ERI3-IT1	-0.172625823	0.86
RNF220	0.3497591	0.04
TMEM53	-0.800044289	0.25
C1orf228	-5.104982671	0.89
RNU5D-1	0.651089663	0.83
KIF2C	-3.430671429	0.23
RPS8	4.62264503	0.2
SNORD46	1.220655738	0.51
SNORD38A	1.376139885	0.03
PLK3	-0.471864454	0.66
TCTEX1D4	-2.57219154	0.04
BTBD19	-0.931790066	0.29
PTCH2	-2.428462603	0.61
EIF2B3	2.434249845	0.1
HECTD3	0.89829458	0.26
UROD	2.616006527	0.38
ZSWIM5	-1.739882277	0.63
LINC01144	-3.633690266	0.49
MUTYH	-0.569851925	0.52
TOE1	-0.204004198	0.6
TESK2	-1.569550348	0.76
CCDC163	-3.065894719	0.04
MMACHC	0.969443584	0.79
PRDX1	4.612855479	0.82
AKR1A1	1.410568276	0.02
NASP	1.910371268	0.33
CCDC17	-0.947921102	0.56
GPBP1L1	3.372837696	0.93
RPS15AP10	1.250430235	0.39
RP11-767N6.2	1.253101693	0.19
TMEM69	1.885895063	0.93
IPP	1.686175851	0.6
RP11-767N6.7	0.402287525	0.3
MAST2	3.394898109	0.95
PIK3R3	2.721818318	0.53
TSPAN1	-6.64385619	0.01
POMGNT1	3.058817646	0.98
LURAP1	1.349540917	0.88
RAD54L	-3.026757379	0.89
LRRC41	1.833659721	0.74
UQCRH	5.248629908	0.26
NSUN4	0.584101241	0.29
RP4-603I14.3	-0.594539051	0.69
FAAH	-1.773282078	0.64
MKNK1	0.927139482	0.18
MOB3C	0.915715124	0.5
ATPAF1	3.995630173	0.01
NENFP1	-6.64385619	1
EFCAB14	3.599881245	0.93
CYP4B1	0.339705881	0.61
CYP4X1	-0.732234175	0.62
CYP4Z1	-6.64385619	0.37
TAL1	-0.454485786	0.32
STIL	-3.879900143	0.75
CMPK1	3.596406965	0.61
FOXD2-AS1	-4.876332586	0.82
FOXD2	-6.64385619	0.82
TRABD2B	-3.384216782	0.06
RP4-683M8.2	-4.297642388	0.56
SKINT1L	-6.64385619	0.46
SLC5A9	-3.983565604	0.37
RP5-1024N4.4	-3.081615266	0.51
RP5-1024N4.5	-2.867559749	0.57
SPATA6	0.925661179	0.74
PPP1R8P1	-0.010940936	0.49
RP11-329A14.1	-6.64385619	0.79
AGBL4	-4.309651612	0.39
BEND5	-0.373455393	0.9
AGBL4-IT1	-6.64385619	0.52
FAF1	2.458278861	0.15
CDKN2C	0.379672224	0.35
RNF11	4.421052662	0.21
TTC39A	0.01278606	0.85
TTC39A-AS1	-1.960920633	0.67
EPS15	3.532810111	0.06
OSBPL9	2.823851606	0.39
SLC25A6P3	-3.668611204	0.35
NRDC	3.658845493	0.22
RP4-657D16.3	-1.860667819	0.61
RAB3B	-6.64385619	0.58
TXNDC12	1.786812005	0.45
KTI12	-0.416556399	0.55
BTF3L4	1.127036573	0.49
ZFYVE9	2.214828588	0.52
RN7SL788P	-0.778956638	0.21
PDCL3P6	-2.466600558	0.34
ANAPC10P1	-2.139060199	0.06
CC2D1B	0.963485696	0.37
ORC1	-6.64385619	0.09
PRPF38A	1.209952792	0.11
ZCCHC11	1.79497288	0.13
GPX7	0.593143609	0.33
FAM159A	-4.104995663	0.04
COA7	0.829668637	0.73
ZYG11B	3.687270387	0.69
RPS13P2	-1.861431922	0.74
ECHDC2	2.218924986	0.24
SCP2	2.640594046	0.34
RP11-334A14.2	-6.64385619	0.44
PODN	0.976558963	0.82
SLC1A7	-4.951568328	0.24
CPT2	0.731984004	0.66
RP5-1024G6.2	-1.966581805	0.65
C1orf123	1.576105531	0.89
MAGOH	1.513763249	0.46
RP5-1024G6.5	-2.614749367	0.58
LRP8	-1.993398845	0.29
RP11-117D22.2	-6.64385619	0.96
GLIS1	-5.088962777	0.39
NDC1	0.796744317	0.36
YIPF1	1.77059538	0.14
HSPB11	0.962756707	0.01
LRRC42	1.300056482	0.9
TMEM59	3.057579776	0.95
RP4-758J24.6	-1.810837966	0.92
TCEANC2	-0.628362221	0.31
CYB5RL	-1.363932305	0.94
MRPL37	3.266012458	0.55
SSBP3	1.1545819	0.19
SSBP3-AS1	-3.293753964	0.82
ACOT11	3.075326715	0.65
FAM151A	-1.832259261	0.18
MROH7	-0.06988525	0.11
MROH7-TTC4	-3.845436292	0.34
TTC4	-2.105435853	0.24
PARS2	0.429481694	0.14
TTC22	-6.64385619	0.96
DHCR24	1.65413828	0.18
USP24	3.249762906	0.4
GYG1P3	-2.928009621	0.43
RN7SKP291	-0.827461246	0.71
RP11-90C4.1	-5.488080051	0.31
RPSAP20	-3.684259366	0.7
RP11-504A18.1	-1.632138061	0.05
PLPP3	3.899941192	0.74
PRKAA2	5.588396957	0.73
C1orf168	1.101452104	0.38
DAB1	1.15843186	0.76
