	fc	p
	-4.782492878999999	0.17
	-3.331814475	0.5
	-0.824207233	0.58
	-0.7826376490000001	0.89
	-6.64385619	0.5
	-5.041572116	0.75
	0.10956624	0.64
	-0.423184558	0.23
	-1.808456237	0.55
	-3.864148343	0.21
	-3.732246001	0.03
	-0.253671133	0.78
	-2.898152263	0.6
	-0.465922328	0.82
	1.95789675	0.87
	0.852717849	0.36
	-6.64385619	0.48
	1.131964685	0.85
	0.7939536890000001	0.8
	-0.047401802	0.2
	0.072826737	0.84
	-6.64385619	0.23
	-5.143358967	0.75
	-1.889401939	0.83
	-6.64385619	0.81
	0.003030228	0.67
	-1.563154203	0.61
	1.5236988130000002	0.2
	3.435212462	0.64
	-0.650989339	0.92
	-6.64385619	0.61
	-3.303630475	0.89
	-1.5661521669999998	0.91
	0.579919996	0.16
	3.335107391	0.22
	0.59891834	0.76
	-0.181355538	0.65
	0.188071742	0.3
	1.817985929	0.45
	-0.161637151	0.19
	2.616375525	0.18
	0.852303657	0.08
	-0.531705483	0.0
	-1.391061371	0.9
	3.065085549	0.1
	2.211193738	0.57
	2.660389685	0.39
	-0.552437144	0.19
	2.643304033	0.62
	5.249926449	0.64
	-1.8035574	0.86
	0.267289651	0.36
	-6.64385619	0.32
	6.135240957000001	0.3
	2.5295210519999998	0.25
	-1.383837952	0.82
	-6.64385619	0.54
	-1.873598743	0.23
	2.867813977	0.59
	-3.566712648	0.12
	2.159606492	0.75
	-0.656143612	0.68
	2.517085003	0.58
	-2.632966862	0.75
	3.4721788489999996	0.4
	-1.2146081290000001	0.92
	0.753865628	0.38
	-0.544698671	0.68
	0.729099202	0.72
	-2.3286194680000003	0.23
	3.44971265	0.26
	2.181648089	0.73
	-0.509212122	0.86
	-1.587966398	0.71
	-6.64385619	1.0
	-6.64385619	0.6
	-3.025931996	0.43
	-2.070332264	0.76
	1.991948658	0.79
	-3.8296404560000004	0.11
	-0.08572857099999999	0.9
	0.729442028	0.88
	0.266775147	0.19
	1.3644559619999999	0.63
	0.645428482	0.31
	-1.7719429119999999	0.59
	-1.1913317509999999	0.07
	0.8609518509999999	0.37
	-0.611335179	0.68
	-4.98349867	0.53
	2.0959771430000003	0.13
	-3.898551583	0.91
	0.804536802	0.53
	-0.06988525	0.59
	1.6350357290000002	0.52
	-1.491057216	0.39
	-1.4461321809999999	0.19
	2.208545693	0.45
	1.204956447	0.61
	-2.4895614409999998	0.59
	2.495403696	0.75
	1.1314152929999999	0.64
	-0.310358833	0.54
	-6.64385619	0.16
	-0.626224266	0.08
	-0.265370991	0.56
	0.03663491	0.92
	-1.8583728940000002	0.32
	4.218142217	0.07
	-0.186792445	0.81
	1.435360793	0.95
	-1.091130189	0.59
	-0.00168201	0.6
	6.73445496	0.38
	0.175841298	0.27
	-0.46465894700000004	0.53
	1.709855285	0.68
	-2.35791663	0.99
	0.8567908609999999	0.24
	-0.068780585	0.28
	2.538640845	0.24
	-1.170120518	0.17
	-2.144011869	0.21
	-6.64385619	0.53
	0.738578712	0.21
	-4.4218329139999994	0.97
	0.8518577390000001	0.79
	1.5819326759999999	0.09
	-0.260832587	0.77
	-1.257218384	0.82
	3.792511797	0.92
	2.8939801419999998	0.46
	-1.022401898	0.81
	-6.64385619	0.12
	1.5300342169999999	0.36
	3.964035272	0.02
	-0.243998137	0.03
	3.503696044	0.45
	-0.664532517	0.09
	-2.412390695	0.74
	-1.238165144	0.32
	0.7361761459999999	0.67
	0.658975522	0.27
	-1.900576885	0.37
	-0.045722043	0.29
	-2.118436124	0.55
	-0.370621845	0.1
	2.123904577	0.49
	-6.087933886	0.75
	-0.892394645	0.37
	1.518487835	0.8
	-0.769715609	0.29
	0.39604485	0.89
	2.335087427	0.54
	0.265673267	0.0
	-0.49508282299999995	0.69
	-2.059102629	0.67
	-2.415406843	0.38
	-4.4740486939999995	0.13
	2.4301505430000003	0.08
	0.22377987	0.1
	1.864781618	0.71
	-2.909092795	0.74
	0.6482060829999999	0.6
	-5.646118329	0.41
	0.656218556	0.02
	-6.64385619	0.04
	-1.659554245	0.18
	-6.64385619	0.45
	0.34270400799999995	0.19
	1.068282516	0.34
	-1.318574191	0.56
	3.010358568	0.32
	0.13690966	0.85
	2.833493977	0.77
	1.805210226	0.39
	-6.64385619	0.5
	0.542418844	0.62
	2.331408195	0.21
	1.702950849	0.43
	1.201586905	0.39
	3.805910117	0.9
	-1.471447041	0.61
	0.078949718	0.32
	-1.875111863	0.35
	2.047182889	0.97
	0.068661786	0.0
	-1.0658142879999999	0.17
	-2.450085996	0.0
	-0.461592514	0.06
	1.597738094	0.2
	0.817817963	0.78
	-1.047232235	0.84
	1.5558372630000001	0.33
	0.004774636	0.37
	-1.435015005	0.86
	0.094001288	0.05
	0.608266864	0.99
	0.831997454	0.16
	-0.130999093	0.89
	1.859269295	0.03
	0.517827789	0.1
	0.264462187	0.68
	-6.64385619	0.8
	3.2772536480000003	0.44
	4.777853925	0.21
	-0.8595897509999999	0.42
	-3.620309695	0.44
	-1.310957463	0.62
	-0.732883625	0.48
	-0.91735683	0.35
	3.451984773	0.11
	2.011583454	0.09
	-2.377915376	0.8
	-2.166781955	0.41
	0.108160125	0.77
	-3.6170645610000003	0.78
	2.388417704	0.38
	-6.64385619	0.11
	0.8876482520000001	0.46
	2.7691292589999996	0.94
	-6.64385619	0.54
	1.6402705080000002	0.17
	-2.695825891	0.76
	-2.663681985	0.26
	-0.139989374	0.68
	-1.006301469	0.61
	-3.078151469	0.37
	-0.08948049699999999	0.63
	-0.5868373060000001	0.67
	-6.64385619	0.98
	-4.389608323	0.24
	-2.279427504	0.95
	2.834472668	0.02
	-0.265370991	0.17
	-6.64385619	0.6
	2.875027116	0.53
	-0.837177905	0.93
	-2.044969574	0.52
	-3.179334015	0.53
	-0.36424002200000005	0.99
	0.163433632	0.48
	0.387993983	0.0
	-0.313438787	0.1
	-2.346954305	0.86
	-1.14248529	0.38
	-2.883148636	0.22
	-3.586036852	0.04
	1.283639427	0.03
	-2.376674422	0.87
	-6.64385619	0.5
	0.877843266	0.23
	-1.547459352	0.15
	-0.56085449	0.52
	-1.577952229	0.8
	2.7245526630000003	0.43
	-2.345644935	0.99
	-6.64385619	0.66
	2.37680582	0.55
	-0.172625823	0.86
	-0.800044289	0.25
	-5.104982671	0.89
	0.6510896629999999	0.83
	1.220655738	0.51
	1.376139885	0.03
	-2.57219154	0.04
	-0.9317900659999999	0.29
	-1.739882277	0.63
	-3.6336902660000003	0.49
	-0.569851925	0.52
	-0.204004198	0.6
	-1.5695503480000002	0.76
	-3.0658947189999997	0.04
	1.910371268	0.33
	-0.947921102	0.56
	3.3728376960000004	0.93
	1.250430235	0.39
	1.253101693	0.19
	1.8858950630000002	0.93
	1.686175851	0.6
	0.402287525	0.3
	3.3948981089999997	0.95
	-6.64385619	0.01
	1.349540917	0.88
	-3.0267573789999997	0.89
	-0.594539051	0.69
	0.9271394820000001	0.18
	0.9157151240000001	0.5
	3.9956301730000003	0.01
	-6.64385619	1.0
	3.599881245	0.93
	-0.732234175	0.62
	-6.64385619	0.37
	-3.879900143	0.75
	-4.876332586	0.82
	-6.64385619	0.82
	-3.3842167819999998	0.06
	-4.297642388	0.56
	-6.64385619	0.46
	-3.081615266	0.51
	-2.8675597489999998	0.57
	0.9256611790000001	0.74
	-0.010940936	0.49
	-6.64385619	0.79
	-0.37345539299999997	0.9
	-6.64385619	0.52
	2.458278861	0.15
	4.421052662	0.21
	0.01278606	0.85
	-1.9609206330000002	0.67
	-3.668611204	0.35
	3.6588454930000003	0.22
	-1.8606678190000001	0.61
	1.786812005	0.45
	-0.41655639899999997	0.55
	1.127036573	0.49
	2.214828588	0.52
	-0.7789566379999999	0.21
	-2.466600558	0.34
	-2.139060199	0.06
	0.9634856959999999	0.37
	-4.104995663	0.04
	0.829668637	0.73
	3.687270387	0.69
	-1.861431922	0.74
	2.2189249859999998	0.24
	-6.64385619	0.44
	0.976558963	0.82
	-1.966581805	0.65
	1.5761055309999998	0.89
	-2.614749367	0.58
	-6.64385619	0.96
	-5.088962777	0.39
	1.77059538	0.14
	1.300056482	0.9
	3.0575797760000003	0.95
	-1.810837966	0.92
	-0.628362221	0.31
	1.1545819	0.19
	-3.293753964	0.82
	-1.832259261	0.18
	-0.06988525	0.11
	-3.845436292	0.34
	-2.105435853	0.24
	-6.64385619	0.96
	-2.928009621	0.43
	-0.8274612459999999	0.71
	-5.488080051	0.31
	-3.684259366	0.7
	-1.632138061	0.05
	3.899941192	0.74
	1.101452104	0.38
	-2.493348831	0.22
	-4.273811838	0.11
	-6.64385619	0.24
	-0.17722714399999998	0.76
	-6.64385619	0.51
	-6.64385619	0.23
	-2.202025898	0.7
	-5.720525505	0.42
	-0.132922595	0.36
	-0.971562223	0.62
	-4.70273712	0.13
	-3.2034163330000003	0.57
	-1.094453869	0.27
	1.4360340040000001	0.47
	1.6143260869999998	0.83
	-1.773031086	0.26
	3.96235047	0.74
	-6.64385619	0.63
	-6.64385619	0.85
	-6.64385619	0.75
	-5.637432887999999	0.04
	-1.1455893879999999	0.66
	-4.079925352	0.74
	-6.64385619	0.79
	-0.687395255	0.79
	1.25325363	0.37
	-5.209605535	0.1
	-0.715348876	0.97
	2.245274729	0.51
	0.650006055	0.77
	1.090739671	0.51
	1.109561793	0.47
	2.176619406	0.94
	0.46594316399999997	1.0
	-6.64385619	0.87
	0.6480035510000001	0.52
	0.827122082	0.49
	2.8615611989999996	0.37
	0.34814332600000003	0.83
	-1.1913317509999999	0.86
	-0.351978733	0.09
	-0.584295942	0.87
	1.9213190709999999	0.6
	3.3105601160000004	0.98
	-0.00133259	0.7
	-2.922634204	0.99
	1.22283833	0.31
	-2.5880976419999997	0.82
	0.356349794	0.06
	-5.0379712969999995	0.21
	2.3247856280000003	0.95
	-6.64385619	0.18
	1.967056456	0.62
	-1.1381047020000001	0.59
	0.013969001000000002	0.77
	-3.2797871069999998	0.27
	3.346581458	0.1
	4.244275897	0.43
	-3.017231751	0.88
	-0.172023	0.79
	-6.64385619	0.92
	-3.941075811	0.24
	2.1814184780000003	0.9
	1.703746652	0.79
	1.6523035680000002	0.8
	-5.889182397000001	0.44
	-6.64385619	0.06
	1.623899605	0.27
	-6.64385619	0.86
	-3.558844886	0.44
	-3.3346920110000005	0.58
	-0.036024492000000005	0.9
	-2.2756001390000002	0.31
	-0.876844682	0.89
	-1.026950217	0.18
	-4.782949165	0.97
	5.923560565	0.22
	3.6898783269999997	0.5
	4.308754256	0.62
	-0.5602583329999999	0.4
	-0.767693383	0.82
	-6.64385619	0.04
	-0.377825465	0.76
	-3.5915294269999998	0.14
	1.633793672	0.0
	2.658949094	0.15
	-1.763205743	0.36
	-1.100950275	0.83
	2.490786828	0.92
	3.354229335	0.02
	-4.000829596	0.15
	-6.64385619	0.71
	-2.427401744	0.01
	-3.019723842	0.81
	-2.593356032	0.72
	-2.693518221	0.4
	-0.7061352470000001	0.65
	0.785198735	0.65
	-6.64385619	0.28
	-2.1873615809999998	0.44
	-6.64385619	0.64
	-6.64385619	0.72
	2.9034007369999997	0.09
	-2.27671761	0.69
	0.20041340800000002	0.69
	0.747727435	0.85
	-2.9101135439999997	0.09
	0.877531115	0.56
	1.124259017	0.73
	-6.64385619	0.87
	-0.8404017779999999	0.91
	-1.3411089790000001	0.57
	1.092503171	0.05
	0.651878679	0.36
	-1.937166806	0.88
	4.190340883999999	0.57
	3.2875277780000003	0.39
	-0.750626063	0.05
	-2.268057723	0.65
	1.293410427	0.62
	-5.080969612	0.49
	-6.64385619	0.31
	1.500460919	0.67
	1.7761520259999999	0.24
	1.125382579	0.78
	1.6994982840000001	0.98
	-0.972399143	0.16
	-6.64385619	0.37
	-1.6536959130000002	0.04
	0.7032289359999999	0.85
	0.47574219	0.79
	-6.64385619	0.37
	-3.0553006289999995	0.14
	-0.762838282	0.41
	1.361587202	0.13
	-1.441807235	0.78
	-1.3269040570000001	0.25
	3.0698277419999997	0.97
	0.12012958900000001	0.05
	-3.522752291	0.62
	2.457426138	0.82
	1.049052191	0.24
	-6.64385619	0.06
	-1.657560475	0.49
	-6.64385619	0.17
	-1.383475779	0.46
	2.6854164989999996	0.29
	0.8104414740000001	0.08
	1.68622594	0.12
	-1.333681987	0.86
	0.33253651100000003	0.97
	1.187883964	0.36
	-0.054007072	0.17
	0.817437973	0.63
	1.40194082	0.6
	-1.060751389	0.43
	-2.4673725380000002	0.1
	2.039260292	0.93
	4.271782575	0.43
	-2.616027809	0.47
	-3.603736922	0.34
	4.031954827	0.96
	0.983606675	0.53
	3.211227468	0.46
	-2.3614107559999997	0.01
	0.532582506	0.52
	-1.526185132	0.21
	-1.885656142	0.47
	-1.272855338	0.1
	0.78371707	0.09
	-2.639731849	1.0
	-2.30871595	0.25
	-6.64385619	0.0
	1.6476478940000001	0.6
	-4.779978758	0.9
	-4.222640301	0.44
	-3.883942334	0.22
	4.571261577	0.6
	-0.418216373	0.98
	0.6216366329999999	0.98
	-0.610901456	0.51
	2.660889449	0.84
	-0.166493889	0.1
	4.826487475	0.87
	-0.46760506799999996	0.19
	2.601504989	0.64
	-0.156401963	0.08
	-6.64385619	0.62
	0.100591131	0.2
	0.27225131	0.23
	-2.225463787	0.34
	-6.64385619	0.18
	-4.972228127	0.31
	-6.64385619	0.47
	-3.1617418410000004	0.91
	-2.227784752	0.52
	-6.64385619	0.24
	3.295775135	0.58
	-4.088673271	0.37
	1.472081555	0.08
	0.633566022	0.46
	1.532767982	0.57
	2.5135770980000003	0.76
	1.768325365	0.64
	-2.0600795709999997	0.34
	2.116533766	0.59
	-1.773031086	0.09
	-5.922484175	1.0
	-0.654327979	0.6
	-3.111998298	0.84
	-4.5154041419999995	0.38
	2.269290924	0.33
	-0.798236477	0.84
	-0.9171080909999999	0.16
	1.147333556	0.45
	-4.88421235	0.05
	-6.64385619	0.59
	-4.010269888	0.76
	1.241990073	0.26
	-0.612683679	0.96
	-6.64385619	0.1
	-6.64385619	0.09
	-6.64385619	0.55
	2.3505681469999997	0.55
	-0.942046035	0.51
	-1.220559742	0.29
	1.238687897	0.11
	-2.447541535	0.55
	-2.31089413	0.99
	1.5156263559999998	0.38
	2.23307137	0.23
	-3.275766197	0.26
	-3.9449258389999997	0.89
	-0.72570968	0.52
	-0.652218272	0.47
	-2.7355435630000002	0.24
	0.137296957	0.81
	-3.99183473	0.21
	-2.432367029	0.95
	-0.11141644699999999	0.2
	-2.722020971	0.55
	0.37149792	0.17
	-4.51912843	0.65
	-1.55258921	0.27
	1.541500555	0.79
	-0.370121214	0.67
	-1.061427513	0.51
	0.8912233740000001	0.93
	-0.385063134	0.4
	0.360157006	0.42
	-2.913984751	0.06
	1.839894985	0.86
	1.147535264	0.36
	-2.974073901	0.6
	0.483810103	0.32
	-1.274738697	0.65
	1.555152404	0.1
	-3.904628419	0.5
	-3.864947144	0.24
	1.214020667	0.25
	6.783623555	0.97
	-0.628265355	0.77
	-3.6556430730000002	0.93
	-0.11695927099999999	0.69
	-0.9973569390000001	0.82
	-0.760891498	0.13
	-1.767308345	0.61
	-1.6236609919999998	0.53
	0.747338418	0.59
	1.5583421290000001	0.52
	4.977147782	0.22
	-4.60809339	0.27
	0.7994378590000001	0.39
	-2.570411934	0.45
	-1.218556126	0.26
	-0.36155658	0.23
	1.4911318180000002	0.38
	1.9555268559999999	0.78
	-5.110341652	0.32
	-1.839140049	0.11
	-2.428727682	0.53
	-2.877375532	0.57
	-1.9978477609999998	1.0
	0.226309074	0.05
	-3.827162478	0.31
	-3.854113	0.26
	-1.69994871	0.33
	-2.306534133	0.04
	-1.453378971	0.07
	2.120101844	0.81
	-3.630730527	0.01
	-4.5519722819999995	0.44
	-2.013261767	0.61
	3.043557985	0.83
	-4.643610792	0.91
	-6.64385619	0.07
	-4.677555933	0.04
	-3.477037013	0.88
	-2.003922953	0.14
	-0.477037924	0.97
	-1.5057094009999998	0.37
	-2.977943432	0.51
	-5.385383797	0.64
	-6.64385619	0.93
	-6.64385619	0.74
	-6.64385619	0.65
	-6.64385619	0.93
	-6.64385619	0.52
	-0.877182803	0.85
	5.94112175	0.91
	-4.273007345	0.78
	-4.326247747	0.66
	-2.443224088	0.22
	-3.1630563730000003	0.97
	2.466842307	0.22
	-6.64385619	0.93
	-5.278428579	0.7
	-2.8335480310000003	0.07
	-0.17808822300000002	0.05
	-2.2698963659999998	0.81
	-3.59968238	0.38
	2.387177757	0.77
	-2.060592382	0.53
	-1.900576885	0.23
	-6.64385619	0.37
	-4.08090104	0.51
	-2.9151294589999996	0.69
	-3.2703162910000003	0.08
	-1.403968238	0.18
	-3.2503226830000003	0.94
	-3.158192374	0.65
	-1.383258429	0.27
	-2.782365427	0.72
	-0.459839835	0.22
	-3.174083296	0.86
	0.12275775	0.9
	-1.048865421	0.04
	-3.5413421130000002	0.65
	-6.64385619	0.07
	-1.963781178	0.81
	0.5671104379999999	0.58
	-6.64385619	0.11
	-2.536807161	0.11
	-6.64385619	0.73
	-6.64385619	0.01
	-0.423184558	0.88
	-3.0923861969999997	0.19
	0.584693682	0.71
	-2.834959459	0.25
	-0.431836816	0.1
	-2.520114606	0.48
	4.837219875	0.64
	-2.038374558	1.0
	-2.3859528290000003	0.12
	3.5422504389999996	0.87
	-3.632009552	0.35
	-4.066591336	0.28
	-6.64385619	0.56
	-3.67823948	0.2
	-6.64385619	0.21
	-0.16874487800000001	0.08
	0.85465108	0.72
	0.541381419	0.15
	-1.6197071269999999	0.5
	0.7188382040000001	0.57
	3.161417475	0.93
	0.653563375	0.75
	1.238659094	0.01
	1.746085666	0.45
	-3.100402247	0.18
	0.25030121	0.7
	-0.51392056	0.3
	0.027047069	0.91
	-2.2393284469999997	0.25
	1.628084429	0.43
	-6.64385619	0.23
	-3.51375364	0.26
	2.848332094	0.98
	3.0773392989999997	0.74
	-3.4196758010000003	0.65
	0.099241582	0.57
	2.9761715619999998	0.88
	2.88715478	0.6
	1.214859949	0.0
	0.624718447	0.08
	1.9224232540000001	0.24
	0.16186877800000002	0.59
	1.7038211559999998	0.63
	-2.293366186	0.67
	0.758735426	0.31
	-6.64385619	0.74
	1.935556598	0.87
	1.918712556	0.7
	2.5738808680000003	0.04
	0.008211486	0.34
	2.155109228	0.74
	-6.64385619	0.45
	-2.801656125	0.54
	-3.991303204	0.57
	-3.618438643	0.09
	0.265875215	0.65
	-5.340320878	0.27
	0.085684935	0.97
	0.293714276	0.84
	-6.64385619	0.63
	-6.64385619	0.54
	6.207292488999999	0.74
	2.588309774	0.6
	-2.3253232180000003	0.3
	-2.3039111340000002	0.51
	2.2301964969999997	0.5
	-0.679911667	0.11
	2.0334965069999997	0.4
	-3.00595428	0.35
	0.9941680190000001	0.91
	-1.9163111659999998	0.26
	2.753842006	0.99
	-1.512976855	0.29
	-5.626279941	0.1
	-2.370451826	0.71
	0.259293092	0.57
	4.547019983999999	0.79
	3.163488806	0.48
	4.357823188	0.41
	-4.494642729	0.32
	1.721564734	0.51
	-0.7083987079999999	0.83
	-0.392474947	0.64
	3.0418008469999998	0.6
	-1.11070108	0.25
	0.906762672	0.21
	-5.076005806	0.13
	-1.097541163	0.77
	-4.81273378	0.13
	-2.917776313	0.51
	-2.265124176	0.26
	-1.268450771	0.56
	2.438495169	0.55
	1.5377365669999998	0.83
	-2.211451248	0.53
	-0.189103274	0.3
	-0.289756042	0.16
	-0.39867080299999996	0.65
	-1.007269355	0.38
	2.0732665409999997	0.61
	-3.6329510610000004	0.34
	1.8458426190000001	0.44
	2.1233427330000003	0.32
	1.14532476	0.48
	-3.0364141960000004	0.01
	1.023277973	0.02
	-5.654571432999999	0.65
	3.487097279	0.03
	1.049583623	0.22
	-6.64385619	0.0
	-2.232414415	0.35
	-2.658152297	0.92
	-2.143112945	0.5
	0.025976607000000002	0.03
	1.101452104	0.15
	-2.815821947	0.92
	3.4954006289999997	0.35
	-0.076657621	0.2
	0.912896625	0.88
	-2.7897278439999997	0.82
	-6.64385619	0.21
	-5.121522307	0.71
	5.57813142	0.17
	-0.8404017779999999	0.1
	-1.224262461	0.38
	0.18050952899999997	0.25
	-4.125037632	0.4
	0.9889610879999999	0.2
	-3.493035882	0.97
	1.6217632519999998	0.97
	-6.64385619	0.87
	-6.64385619	0.32
	-6.64385619	0.44
	-4.854509571	0.05
	-0.264885433	0.4
	-2.389714011	0.68
	-6.64385619	0.15
	-4.723866664	0.22
	-4.0109657819999995	0.01
	-1.34997564	0.55
	0.8824491309999999	0.31
	0.934648678	0.14
	-6.64385619	0.56
	-3.8279891000000004	0.01
	-0.227128222	0.53
	-1.557699798	0.8
	-2.548861661	0.66
	-6.64385619	0.16
	-6.64385619	0.78
	-2.457127784	0.68
	-0.996206018	0.33
	1.5798757669999999	0.61
	-6.64385619	0.9
	-3.079246364	0.6
	-6.64385619	0.77
	-0.724043775	0.23
	0.6886540790000001	0.3
	-3.631915358	0.7
	-4.212992035	0.97
	-5.427620333999999	0.29
	-1.55642395	0.56
	-6.64385619	0.55
	-6.64385619	0.05
	0.08723423699999999	0.77
	1.181888258	0.85
	1.637454474	0.45
	2.793863027	0.88
	2.169212312	0.64
	-2.4781320680000003	0.96
	-1.9318625319999998	0.06
	-1.988155703	0.01
	-1.253241378	0.83
	-6.64385619	0.34
	-0.697341911	0.27
	-0.583154862	0.46
	-5.136822826	0.94
	-4.144233077	0.02
	0.867741725	0.49
	-0.773423022	0.11
	-2.17132241	0.05
	-1.35685046	0.32
	-0.418442582	0.24
	-0.240744514	0.88
	-1.2062480629999999	0.98
	-3.03702801	0.84
	1.9844301340000001	0.95
	1.759288313	0.54
	-1.442436496	0.13
	-4.686561858	0.74
	-0.9904720770000001	0.34
	-2.118058146	0.53
	2.122177857	0.29
	-0.672616373	0.58
	0.42290829700000004	0.88
	-2.154892217	0.59
	-1.380937881	0.0
	-3.810286459	0.01
	1.596375776	0.09
	-1.31553257	0.72
	-0.41745498200000003	0.64
	-1.235164502	0.49
	5.457547164	0.12
	-0.428457495	0.67
	-4.1878681769999995	0.54
	-6.64385619	0.28
	-4.881997838999999	0.65
	2.5832111540000002	0.02
	1.612108626	0.22
	-1.082141901	0.58
	3.3376159989999996	0.55
	1.617970799	0.66
	-2.38099384	0.8
	3.5565455239999997	0.72
	-2.493692588	0.28
	2.4436149609999998	0.9
	0.736127957	0.11
	0.47750200200000004	0.43
	-1.499068831	0.1
	0.942393348	0.51
	0.29680337100000004	0.46
	-2.266625881	0.03
	-2.640855861	0.67
	-2.566845289	0.28
	-3.25545508	0.35
	0.6862453959999999	0.79
	3.3109445539999998	0.36
	0.59898842	0.01
	0.8542235090000001	0.13
	-1.888653617	0.81
	3.479324538	0.49
	0.84441087	0.09
	-1.1913317509999999	0.65
	-3.2927617689999997	0.6
	0.866319187	0.97
	-6.64385619	0.59
	0.105698221	0.14
	-6.64385619	0.15
	-1.972379771	0.63
	2.10356867	0.64
	-6.64385619	0.48
	1.5850387080000001	0.18
	-2.4353370869999997	0.28
	0.24279182600000002	0.27
	-0.519915516	0.25
	-5.024391458999999	0.96
	-1.049291682	0.38
	-1.454411095	0.64
	-0.6930309179999999	0.18
	1.370455618	0.48
	1.42829802	0.32
	2.7270753410000004	0.06
	0.12086571	0.49
	-1.632138061	0.91
	3.2116496989999996	0.71
	1.325051787	0.65
	-1.0947092059999999	0.85
	-1.5672306980000001	0.41
	1.30507254	0.41
	1.5664357340000001	0.65
	-3.2957358660000002	0.24
	1.345670659	0.94
	-3.1303243939999996	0.63
	-2.274257914	0.14
	-2.262463089	0.94
	-1.689236414	0.36
	1.072319201	0.72
	-4.0299227339999995	0.23
	3.959600992	0.96
	-4.648083968	0.24
	-1.099806067	0.62
	-0.005696466	0.34
	2.1910875919999997	0.66
	3.485369517	0.9
	0.481581043	0.51
