	fc	p
MIR34A	-2.176657038	0.11
RP3-510D11.2	-2.6877306	0.71
H6PD	2.268837743	0.77
SLC25A33	-1.561701832	0.66
RP13-15M17.1	-3.083979567	0.76
TMEM201	0.435608018	0.66
PIK3CD-AS2	-6.64385619	0.98
CLSTN1	3.400461456	0.06
LZIC	2.244609926	0.64
RP11-84A14.4	-2.764915065	0.79
RN7SKP269	-0.383576069	0.19
RBP7	2.593679028	0.2
UBE4B	2.587758955	0.99
PGAM1P11	-2.415406843	1.0
RNU6-37P	0.186161223	0.0
CENPS	-2.446365478	0.34
CASZ1	1.595707126	0.76
RP4-734G22.3	-6.64385619	0.22
C1ORF127	-4.04315819	0.04
TARDBP	1.943386261	0.42
RP4-635E18.8	0.618876967	0.95
RP4-635E18.7	-3.68989558	0.7
ANGPTL7	-0.729548825	0.94
DISP3	-5.656671212	0.25
DRAXIN	-4.291502473	0.99
AGTRAP	1.012206148	0.78
C1ORF167	-2.497334594	0.5
NPPA-AS1	-2.1752701	0.88
NPPB	6.204215994	0.29
RP5-934G17.6	-6.64385619	0.81
RNU5E-1	4.680988981	0.67
KIAA2013	1.682417208	0.22
MIIP	0.651936341	0.85
VPS13D	3.660773484	0.93
SNORA59A	-1.297139953	0.89
RP11-474O21.5	-0.495082823	0.43
LRRC38	-3.951756357	0.73
PRDM2	2.41391188	0.1
TMEM51-AS1	-4.251854599	0.37
TMEM51	-0.667727167	0.94
FHAD1	-6.086889444	0.82
RP3-467K16.2	-1.554996584	0.65
RP3-467K16.7	-3.426781646	0.4
EFHD2	1.139525303	0.37
CASP9	0.207978938	0.07
DNAJC16	1.41483286	0.97
DDI2	1.900577491	0.69
PLEKHM2	2.916104158	0.7
SLC25A34	0.92476739	0.41
UQCRHL	-0.976622531	0.31
FLJ37453	-1.235319868	0.28
SPEN	2.751877186	0.06
C1ORF64	-3.845610512	0.93
HSPB7	8.383728193	0.15
FAM131C	-6.64385619	0.92
ANO7L1	-3.308211462	0.58
RSG1	-0.138963634	0.44
FBXO42	1.76042865	0.71
SZRD1	2.942374197	0.06
RP4-798A10.2	-1.887369806	0.43
CROCCP3	-0.27802079	0.49
RNU1-1	0.887089673	0.76
NBPF1	0.080509129	0.7
CROCCP2	-0.87421318	0.43
MST1P2	-4.782492879	0.17
RP5-875O13.7	-3.331814475	0.5
EIF1AXP1	-0.824207233	0.58
CROCC	-0.782637649	0.89
MST1L	-6.64385619	0.5
RP11-108M9.3	-5.041572116	0.75
RP11-108M9.4	0.10956624	0.64
RNU1-2	-0.423184558	0.23
RP11-108M9.6	-1.808456237	0.55
IGSF21	-3.864148343	0.21
RP11-174G17.3	-3.732246001	0.03
IFFO2	-0.253671133	0.78
RP5-1126H10.2	-2.898152263	0.6
RP1-43E13.2	-0.465922328	0.82
EMC1	1.95789675	0.87
MRTO4	0.852717849	0.36
RN7SL277P	-6.64385619	0.48
MINOS1	1.131964685	0.85
RP5-1056L3.3	0.793953689	0.8
NBL1	-0.047401802	0.2
TMCO4	0.072826737	0.84
RP3-340N1.2	-6.64385619	0.23
PLA2G2C	-5.143358967	0.75
UBXN10	-1.889401939	0.83
VWA5B1	-6.64385619	0.81
CAMK2N1	0.003030228	0.67
FAM43B	-1.563154203	0.61
PINK1-AS	1.523698813	0.2
HP1BP3	3.435212462	0.64
RPS15AP6	-0.650989339	0.92
RP11-487E1.2	-6.64385619	0.61
NBPF2P	-3.303630475	0.89
NBPF3	-1.566152167	0.91
ALPL	0.579919996	0.16
LINC00339	0.59891834	0.76
CDC42-IT1	-0.181355538	0.65
RP1-224A6.9	0.188071742	0.3
ZBTB40	1.817985929	0.45
ZBTB40-IT1	-0.161637151	0.19
LUZP1	2.616375525	0.18
LINC01355	0.852303657	0.08
ZNF436-AS1	-0.531705483	0.0
RP5-1057J7.7	-1.391061371	0.9
TCEA3	3.065085549	0.1
ASAP3	2.211193738	0.57
TCEB3-AS1	-0.552437144	0.19
PITHD1	2.643304033	0.62
MYOM3	5.249926449	0.64
IFNLR1	-0.771009913	0.4
STPG1	-1.8035574	0.86
RCAN3	0.267289651	0.36
NCMAP	-6.64385619	0.32
CLIC4	6.135240957	0.3
RSRP1	2.529521052	0.25
RP3-465N24.6	-1.383837952	0.82
RP3-465N24.5	-6.64385619	0.54
RP11-335G20.7	-1.873598743	0.23
TMEM50A	2.867813977	0.59
RHCE	-3.566712648	0.12
TMEM57	2.159606492	0.75
RP11-70P17.1	-0.656143612	0.68
SELENON	2.517085003	0.58
RP1-317E23.3	-2.632966862	0.75
MTFR1L	3.472178849	0.4
PAQR7	-1.214608129	0.92
PDIK1L	0.753865628	0.38
FAM110D	-0.544698671	0.68
ZNF593	0.729099202	0.72
RP11-231P20.2	-2.328619468	0.23
CEP85	3.44971265	0.26
SH3BGRL3	2.181648089	0.73
UBXN11	-0.509212122	0.86
CD52	-1.587966398	0.71
AIM1L	-6.64385619	1.0
ZNF683	-6.64385619	0.6
RP3-476K8.4	-3.025931996	0.43
RP3-476K8.3	-2.070332264	0.76
HMGN2	1.991948658	0.79
RP5-968P14.2	-3.829640456	0.11
ZDHHC18	-0.085728571	0.9
GPN2	0.729442028	0.88
GPATCH3	0.266775147	0.19
TRNP1	1.364455962	0.63
FAM46B	0.645428482	0.31
CHCHD3P3	-1.771942912	0.59
RP11-4K3__A.3	-1.191331751	0.07
TMEM222	0.860951851	0.37
ACTG1P20	-0.611335179	0.68
SYTL1	-4.98349867	0.53
MAP3K6	2.095977143	0.13
GPR3	-3.898551583	0.91
AHDC1	0.804536802	0.53
RP1-159A19.3	-0.06988525	0.59
FAM76A	1.635035729	0.52
RP3-426I6.2	-1.491057216	0.39
RPEP3	-1.446132181	0.19
STX12	2.208545693	0.45
RP3-426I6.5	1.204956447	0.61
RP3-426I6.6	-2.489561441	0.59
PPP1R8	2.495403696	0.75
SCARNA1	1.131415293	0.64
THEMIS2	-0.310358833	0.54
SMPDL3B	-6.64385619	0.16
XKR8	-0.626224266	0.08
RP11-460I13.6	-0.265370991	0.56
RN7SL559P	0.03663491	0.92
SPCS2P4	-1.858372894	0.32
ATPIF1	4.218142217	0.07
RP5-1092A3.4	-0.186792445	0.81
PHACTR4	1.435360793	0.95
RP1-308E4.1	-1.091130189	0.59
SNHG3	-0.00168201	0.6
SNORA73B	6.73445496	0.38
TRNAU1AP	0.175841298	0.27
SNHG12	-0.464658947	0.53
SNORD99	1.709855285	0.68
RAB42	-4.73021036	0.06
RP11-442N24__B.1	-2.35791663	0.99
RNU11	0.856790861	0.24
GMEB1	-0.068780585	0.28
YTHDF2	2.538640845	0.24
TMEM200B	-1.170120518	0.17
RP11-242O24.3	-2.144011869	0.21
MATN1-AS1	-6.64385619	0.53
LAPTM5	0.738578712	0.21
RP5-1125N11.2	-4.421832914	0.97
SDC3	1.538127215	0.22
RP11-490K7.4	0.851857739	0.79
ZCCHC17	1.581932676	0.09
RP11-266K22.2	-0.260832587	0.77
RP11-73M7.1	-1.257218384	0.82
TINAGL1	3.792511797	0.92
PEF1	2.893980142	0.46
COL16A1	1.490031802	0.4
ADGRB2	-1.022401898	0.81
SPOCD1	-6.64385619	0.12
RP11-84A19.4	1.530034217	0.36
PTP4A2	3.964035272	0.02
KHDRBS1	3.548030651	0.59
TMEM39B	-0.243998137	0.03
KPNA6	3.503696044	0.45
CCDC28B	-0.664532517	0.09
RP4-622L5.7	-2.412390695	0.74
IQCC	-1.238165144	0.32
TMEM234	0.736176146	0.67
MTMR9LP	0.658975522	0.27
FAM167B	-1.900576885	0.37
MARCKSL1	-0.045722043	0.29
TSSK3	-2.118436124	0.55
FAM229A	-0.370621845	0.1
BSDC1	2.123904577	0.49
ZBTB8B	-6.087933886	0.75
ZBTB8A	-0.892394645	0.37
SYNC	1.518487835	0.8
KIAA1522	-0.769715609	0.29
S100PBP	0.39604485	0.89
FNDC5	2.335087427	0.54
TMEM54	0.265673267	0.0
AZIN2	-2.059102629	0.67
RP11-131M11.2	-2.415406843	0.38
RP11-131M11.3	-4.474048694	0.13
ZNF362	2.430150543	0.08
RP11-415J8.7	0.22377987	0.1
RN7SKP16	1.864781618	0.71
RP11-415J8.5	-2.909092795	0.74
ZSCAN20	0.648206083	0.6
CSMD2	-5.646118329	0.41
SMIM12	0.656218556	0.02
RP1-34M23.5	-6.64385619	0.04
RP11-244H3.1	-1.659554245	0.18
TMEM35B	-6.64385619	0.45
ZMYM6	0.342704008	0.19
ZMYM1	1.068282516	0.34
EFCAB14P1	-1.318574191	0.56
ZMYM4	3.010358568	0.32
RPL5P4	0.13690966	0.85
KIAA0319L	2.833493977	0.77
NCDN	1.805210226	0.39
RP4-728D4.2	-6.64385619	0.5
C1ORF216	0.542418844	0.62
AGO4	2.331408195	0.21
AGO1	1.702950849	0.43
AGO3	1.201586905	0.39
COL8A2	-1.70300063	0.52
MAP7D1	3.805910117	0.9
SH3D21	-1.471447041	0.61
EVA1B	0.078949718	0.32
RP11-268J15.5	-1.875111863	0.35
STK40	2.047182889	0.97
OSCP1	0.068661786	0.0
LINC01137	-2.450085996	0.0
ZC3H12A	-0.461592514	0.06
MIR5581	1.597738094	0.2
SNIP1	0.817817963	0.78
DNALI1	-1.047232235	0.84
GNL2	1.555837263	0.33
C1ORF109	0.004774636	0.37
MANEAL	-1.435015005	0.86
YRDC	0.094001288	0.05
C1ORF122	0.608266864	0.99
FHL3	-0.130999093	0.89
UTP11	1.859269295	0.03
RP5-864K19.4	0.517827789	0.1
MYCBP	0.264462187	0.68
RHBDL2	-6.64385619	0.8
AKIRIN1	3.277253648	0.44
MACF1	4.777853925	0.21
RP11-416A14.1	-0.859589751	0.42
BMP8A	-3.620309695	0.44
OXCT2P1	-1.310957463	0.62
RP11-69E11.4	-0.732883625	0.48
PPIEL	-0.91735683	0.35
PABPC4	3.451984773	0.11
SNORA55	2.011583454	0.09
HPCAL4	-2.377915376	0.8
BMP8B	-2.166781955	0.41
MYCL	-3.617064561	0.78
RLF	2.388417704	0.38
RNU6-1237P	-6.64385619	0.11
RP1-39G22.7	0.887648252	0.46
ZMPSTE24	2.769129259	0.94
RP1-39G22.4	-6.64385619	0.54
SMAP2	1.640270508	0.17
RP1-228H13.2	-2.695825891	0.76
RP1-228H13.5	-2.663681985	0.26
RP11-656D10.3	-0.139989374	0.68
EXO5	-1.006301469	0.61
RIMS3	-3.078151469	0.37
NFYC-AS1	-0.089480497	0.63
MIR30E	-0.586837306	0.67
MIR30C1	-6.64385619	0.98
SLFNL1-AS1	-4.389608323	0.24
SLFNL1	-2.279427504	0.95
SCMH1	2.834472668	0.02
RP11-399E6.1	-0.265370991	0.17
RP11-399E6.4	-6.64385619	0.6
FOXJ3	2.875027116	0.53
ZMYND12	-0.837177905	0.93
CCDC30	-2.044969574	0.52
RP5-994D16.3	-3.179334015	0.53
P3H1	-0.364240022	0.99
C1ORF50	0.163433632	0.48
ERMAP	-0.313438787	0.1
RP11-342M1.3	-2.346954305	0.86
ATP6V1E1P1	-1.14248529	0.38
SLC2A1-AS1	-2.883148636	0.22
CFAP57	-3.586036852	0.04
TIE1	1.283639427	0.03
RP1-92O14.3	-2.376674422	0.87
SZT2-AS1	-6.64385619	0.5
HYI	0.877843266	0.23
HYI-AS1	-1.547459352	0.15
RP11-184I16.3	-0.56085449	0.52
RP11-7O11.3	-1.577952229	0.8
IPO13	2.724552663	0.43
CCDC24	-2.345644935	0.99
RP5-1198O20.4	-6.64385619	0.66
ERI3	2.37680582	0.55
ERI3-IT1	-0.172625823	0.86
TMEM53	-0.800044289	0.25
C1ORF228	-5.104982671	0.89
RNU5D-1	0.651089663	0.83
SNORD46	1.220655738	0.51
SNORD38A	1.376139885	0.03
TCTEX1D4	-2.57219154	0.04
BTBD19	-0.931790066	0.29
ZSWIM5	-1.739882277	0.63
LINC01144	-3.633690266	0.49
MUTYH	-0.569851925	0.52
TOE1	-0.204004198	0.6
TESK2	-1.569550348	0.76
CCDC163	-3.065894719	0.04
MMACHC	0.969443584	0.79
NASP	1.910371268	0.33
CCDC17	-0.947921102	0.56
GPBP1L1	3.372837696	0.93
RPS15AP10	1.250430235	0.39
RP11-767N6.2	1.253101693	0.19
TMEM69	1.885895063	0.93
IPP	1.686175851	0.6
RP11-767N6.7	0.402287525	0.3
MAST2	3.394898109	0.95
TSPAN1	-6.64385619	0.01
LURAP1	1.349540917	0.88
RAD54L	-3.026757379	0.89
RP4-603I14.3	-0.594539051	0.69
MKNK1	0.927139482	0.18
MOB3C	0.915715124	0.5
ATPAF1	3.995630173	0.01
NENFP1	-6.64385619	1.0
EFCAB14	3.599881245	0.93
CYP4X1	-0.732234175	0.62
CYP4Z1	-6.64385619	0.37
STIL	-3.879900143	0.75
FOXD2-AS1	-4.876332586	0.82
FOXD2	-6.64385619	0.82
TRABD2B	-3.384216782	0.06
RP4-683M8.2	-4.297642388	0.56
SKINT1L	-6.64385619	0.46
RP5-1024N4.4	-3.081615266	0.51
RP5-1024N4.5	-2.867559749	0.57
SPATA6	0.925661179	0.74
PPP1R8P1	-0.010940936	0.49
RP11-329A14.1	-6.64385619	0.79
BEND5	-0.373455393	0.9
AGBL4-IT1	-6.64385619	0.52
FAF1	2.458278861	0.15
RNF11	4.421052662	0.21
TTC39A	0.01278606	0.85
TTC39A-AS1	-1.960920633	0.67
SLC25A6P3	-3.668611204	0.35
NRDC	3.658845493	0.22
RP4-657D16.3	-1.860667819	0.61
RAB3B	-6.64385619	0.58
TXNDC12	1.786812005	0.45
KTI12	-0.416556399	0.55
BTF3L4	1.127036573	0.49
ZFYVE9	2.214828588	0.52
RN7SL788P	-0.778956638	0.21
PDCL3P6	-2.466600558	0.34
ANAPC10P1	-2.139060199	0.06
FAM159A	-4.104995663	0.04
COA7	0.829668637	0.73
ZYG11B	3.687270387	0.69
RPS13P2	-1.861431922	0.74
ECHDC2	2.218924986	0.24
RP11-334A14.2	-6.64385619	0.44
PODN	0.976558963	0.82
RP5-1024G6.2	-1.966581805	0.65
C1ORF123	1.576105531	0.89
RP5-1024G6.5	-2.614749367	0.58
RP11-117D22.2	-6.64385619	0.96
GLIS1	-5.088962777	0.39
YIPF1	1.77059538	0.14
LRRC42	1.300056482	0.9
TMEM59	3.057579776	0.95
RP4-758J24.6	-1.810837966	0.92
TCEANC2	-0.628362221	0.31
SSBP3	1.1545819	0.19
SSBP3-AS1	-3.293753964	0.82
FAM151A	-1.832259261	0.18
MROH7	-0.06988525	0.11
MROH7-TTC4	-3.845436292	0.34
TTC4	-2.105435853	0.24
TTC22	-6.64385619	0.96
GYG1P3	-2.928009621	0.43
RN7SKP291	-0.827461246	0.71
RP11-90C4.1	-5.488080051	0.31
RPSAP20	-3.684259366	0.7
RP11-504A18.1	-1.632138061	0.05
PLPP3	3.899941192	0.74
C1ORF168	1.101452104	0.38
RPS20P5	-2.493348831	0.22
HNRNPA1P6	-4.273811838	0.11
TACSTD2	-6.64385619	0.24
RP4-592A1.2	-0.177227144	0.76
RP11-63G10.4	-6.64385619	0.51
LINC01135	-6.64385619	0.23
RP4-794H19.1	-2.202025898	0.7
LINC01358	-5.720525505	0.42
FGGY	-0.132922595	0.36
HOOK1	-0.971562223	0.62
RP11-776H12.1	-4.70273712	0.13
RP11-436K8.1	-3.203416333	0.57
NFIA-AS2	-1.094453869	0.27
RP4-802A10.1	1.436034004	0.47
TM2D1	1.614326087	0.83
RP11-430G17.3	-1.773031086	0.26
PATJ	3.96235047	0.74
LAMTOR5P1	-6.64385619	0.63
RN7SL180P	-6.64385619	0.85
L1TD1	-6.64385619	0.75
KANK4	-5.637432888	0.04
RP5-849H19.2	-1.145589388	0.66
RP11-230B22.1	-4.079925352	0.74
FOXD3-AS1	-6.64385619	0.79
DLEU2L	-0.687395255	0.79
RN7SL130P	1.25325363	0.37
ROR1-AS1	-5.209605535	0.1
CACHD1	-0.715348876	0.97
RAVER2	2.245274729	0.51
LINC01359	0.650006055	0.77
SLC2A3P2	1.090739671	0.51
RP4-535B20.4	1.109561793	0.47
RNU6-1176P	2.176619406	0.94
MIR3671	0.465943164	1.0
MIR101-1	-6.64385619	0.87
RP4-535B20.1	0.648003551	0.52
RPS29P7	0.827122082	0.49
LEPROT	2.861561199	0.37
LEPR	0.348143326	0.83
RP4-630A11.3	-1.191331751	0.86
PDE4B	0.932450324	0.06
MIR3117	-0.351978733	0.09
WDR78	-0.584295942	0.87
MIER1	1.921319071	0.6
IL12RB2	-3.187415211	0.95
SERBP1	3.310560116	0.98
RNU7-80P	-0.00133259	0.7
GNG12-AS1	-2.922634204	0.99
DIRAS3	1.22283833	0.31
ARL5AP3	-2.588097642	0.82
CTBP2P8	0.356349794	0.06
DEPDC1	-5.037971297	0.21
LRRC40	2.324785628	0.95
RN7SL242P	-6.64385619	0.18
ANKRD13C	1.967056456	0.62
HHLA3	-1.138104702	0.59
CTH	0.013969001	0.77
RP3-333A15.2	-3.279787107	0.27
ZRANB2	3.346581458	0.1
MIR186	4.244275897	0.43
ZRANB2-AS2	-3.017231751	0.88
NEGR1	-0.172023	0.79
GDI2P2	-6.64385619	0.92
LRRIQ3	-3.941075811	0.24
FPGT-TNNI3K	2.181418478	0.9
TNNI3K	1.703746652	0.79
RP4-650F12.2	1.652303568	0.8
ERICH3	-5.889182397	0.44
RP11-17E13.2	-6.64385619	0.06
CRYZ	1.623899605	0.27
RNU6-503P	-6.64385619	0.86
RP4-682C21.5	-3.558844886	0.44
DLSTP1	-3.334692011	0.58
TPI1P1	-0.036024492	0.9
RP11-181C21.4	-2.275600139	0.31
NSRP1P1	-0.876844682	0.89
HSPE1P25	-1.026950217	0.18
NEXN-AS1	-4.782949165	0.97
NEXN	5.923560565	0.22
FUBP1	3.689878327	0.5
DNAJB4	4.308754256	0.62
GIPC2	-0.560258333	0.4
RP11-386I14.4	-0.767693383	0.82
RP11-386I14.2	-6.64385619	0.04
RP11-386I14.3	-0.377825465	0.76
MGC27382	-3.591529427	0.14
IFI44L	1.633793672	0.0
IFI44	2.658949094	0.15
RP4-641G12.3	-1.763205743	0.36
RP4-641G12.4	-1.100950275	0.83
ADGRL4	2.490786828	0.92
ADGRL2	3.354229335	0.02
HNRNPA3P14	-4.000829596	0.15
RP5-837I24.1	-6.64385619	0.71
RP5-837I24.6	-2.427401744	0.01
ST13P20	-3.019723842	0.81
RP11-475O6.1	-2.593356032	0.72
TTLL7-IT1	-2.693518221	0.4
RP11-486G15.2	-0.706135247	0.65
RP11-486G15.1	0.785198735	0.65
RP11-82H13.2	-6.64385619	0.28
SAMD13	-2.187361581	0.44
RP11-376N17.4	-6.64385619	0.64
DNASE2B	-6.64385619	0.72
RPF1	2.903400737	0.09
SPATA1	-2.27671761	0.69
CTBS	0.200413408	0.69
SSX2IP	0.747727435	0.85
WDR63	-2.910113544	0.09
RP11-33E12.2	0.877531115	0.56
C1ORF52	1.124259017	0.73
BCL10	0.691702458	0.41
RP11-131L23.1	-6.64385619	0.87
RP4-621F18.2	-1.341108979	0.57
CYR61	1.960875804	0.32
ZNHIT6	1.092503171	0.05
COL24A1	-1.798595881	0.3
ODF2L	0.651878679	0.36
RP4-612B15.3	-1.937166806	0.88
SH3GLB1	4.190340884	0.57
SELENOF	3.287527778	0.39
RP11-384B12.3	-0.750626063	0.05
LINC01140	-2.268057723	0.65
LMO4	1.293410427	0.62
RP11-60A14.1	-5.080969612	0.49
RP5-1027O11.1	-6.64385619	0.31
PKN2	3.08964668	0.19
RNU6-125P	1.500460919	0.67
TCEB1P19	1.776152026	0.24
KYAT3	1.125382579	0.78
RBMXL1	1.699498284	0.98
PTGES3P1	-0.972399143	0.16
RP4-620F22.3	-6.64385619	0.37
GBP1P1	-1.653695913	0.04
FLJ27354	0.703228936	0.85
RP11-413E1.4	0.47574219	0.79
RP5-943J3.1	-6.64385619	0.37
RP11-302M6.5	-3.055300629	0.14
GEMIN8P4	-0.762838282	0.41
ZNF326	1.361587202	0.13
RP4-665J23.1	-1.441807235	0.78
PHKA1P1	-1.326904057	0.25
ZNF644	3.069827742	0.97
HFM1	0.120129589	0.05
HSP90B3P	-3.522752291	0.62
TGFBR3	2.457426138	0.82
RN7SL653P	1.049052191	0.24
EPHX4	-6.64385619	0.06
BTBD8	-1.657560475	0.49
PRKAR1AP1	-6.64385619	0.17
RP4-621B10.8	-1.383475779	0.46
EVI5	2.685416499	0.29
RP4-593M8.1	0.810441474	0.08
HMGB3P9	1.68622594	0.12
RP11-330C7.4	-1.333681987	0.86
FAM69A	0.332536511	0.97
SNORA66	1.187883964	0.36
CCDC18	-0.054007072	0.17
CCDC18-AS1	0.817437973	0.63
BCAR3	1.40194082	0.6
RP11-488P3.1	-1.060751389	0.43
RP4-561L24.3	-2.467372538	0.1
DNTTIP2	2.039260292	0.93
ABCA4	-5.338542969	0.62
F3	4.271782575	0.43
LINC01057	-2.616027809	0.47
KATNBL1P2	-3.603736922	0.34
CNN3	4.031954827	0.96
RP4-639F20.1	0.983606675	0.53
TMEM56	3.211227468	0.46
TMEM56-RWDD3	-2.361410756	0.01
RP11-57H12.2	0.532582506	0.52
RP11-57H12.3	-1.526185132	0.21
EEF1A1P11	-1.885656142	0.47
RPL7P9	-1.272855338	0.1
PTBP2	0.78371707	0.09
DPYD-IT1	-2.639731849	1.0
SEC63P1	-2.30871595	0.25
MIR137HG	-6.64385619	0.0
SNX7	1.647647894	0.6
PLPPR5	-4.779978758	0.9
PLPPR4	-4.222640301	0.44
RP11-413P11.1	-3.883942334	0.22
PALMD	4.571261577	0.6
HMGB3P10	-0.418216373	0.98
FRRS1	0.621636633	0.98
RP5-884G6.2	-0.610901456	0.51
MFSD14A	2.660889449	0.84
SASS6	-0.166493889	0.1
LRRC39	4.826487475	0.87
RTCA-AS1	-0.467605068	0.19
RTCA	2.601504989	0.64
MIR553	-0.156401963	0.08
GPR88	-6.64385619	0.62
RP11-421L21.3	0.100591131	0.2
RP4-575N6.4	0.27225131	0.23
RP4-575N6.5	-2.225463787	0.34
RP4-575N6.2	-6.64385619	0.18
COL11A1	-4.972228127	0.31
RP11-364B6.2	-6.64385619	0.47
RP11-90H3.2	-3.161741841	0.91
RP11-90H3.1	-2.227784752	0.52
NTNG1	-6.64385619	0.24
RP11-270C12.3	3.295775135	0.58
RP11-356N1.2	-4.088673271	0.37
SLC25A24	1.472081555	0.08
FAM102B	0.633566022	0.46
PRPF38B	1.532767982	0.57
STXBP3	1.781834561	0.0
CLCC1	2.513577098	0.76
WDR47	1.768325365	0.64
RP5-1065J22.8	-2.060079571	0.34
TMEM167B	2.116533766	0.59
SCARNA2	-1.773031086	0.09
KIAA1324	-5.922484175	1.0
CELSR2	-0.654327979	0.6
PSRC1	-3.111998298	0.84
MYBPHL	-4.515404142	0.38
SYPL2	2.269290924	0.33
ATXN7L2	-0.798236477	0.84
CYB561D1	-0.917108091	0.16
AMIGO1	1.147333556	0.45
GPR61	-4.88421235	0.05
RP4-735C1.4	-6.64385619	0.59
EPS8L3	-4.010269888	0.76
STRIP1	1.241990073	0.26
RP4-773N10.4	-0.612683679	0.96
SLC6A17	-6.64385619	0.1
KCNC4-AS1	-6.64385619	0.09
RP5-1074L1.1	-6.64385619	0.55
RBM15	2.350568147	0.55
LAMTOR5-AS1	-0.942046035	0.51
SLC16A4	-1.220559742	0.29
RP5-1074L1.4	1.238687897	0.11
RP11-284N8.3	-2.447541535	0.55
RP11-96K19.4	-2.31089413	0.99
LRIF1	1.515626356	0.38
DRAM2	2.23307137	0.23
RP5-1180E21.5	-3.275766197	0.26
CHI3L2	-3.944925839	0.89
PIFO	-0.72570968	0.52
RP11-552M11.8	-0.652218272	0.47
RP11-552M11.4	-2.735543563	0.24
C1ORF162	0.137296957	0.81
TMIGD3	-3.99183473	0.21
LINC01160	-2.432367029	0.95
FAM212B	-0.111416447	0.2
FAM212B-AS1	-2.722020971	0.55
KCND3-IT1	0.37149792	0.17
RP11-88H9.2	-4.51912843	0.65
RP5-965F6.2	-1.55258921	0.27
CTTNBP2NL	1.541500555	0.79
RP4-671G15.2	-1.061427513	0.51
ST7L	0.891223374	0.93
PPM1J	-0.385063134	0.4
